iter	Logloss
0	0.5457069536
1	0.4296062848
2	0.3547734649
3	0.2803778393
4	0.2241437992
5	0.1894451252
6	0.1603061236
7	0.1420041462
8	0.1231652926
9	0.1095178889
10	0.09975187946
11	0.09425967958
12	0.08906774656
13	0.08515204705
14	0.0798797729
15	0.07497056244
16	0.07126413914
17	0.06945827142
18	0.0661412697
19	0.06450441715
20	0.06242717159
21	0.06054310807
22	0.06001415599
23	0.05815138921
24	0.05693931382
25	0.05497417034
26	0.05413573408
27	0.05348924476
28	0.0524319071
29	0.05196109611
30	0.05011346075
31	0.04938026357
32	0.04894426004
33	0.04832284826
34	0.04753427711
35	0.0461484121
36	0.04533815723
37	0.04444609323
38	0.04399263086
39	0.04332282911
40	0.04288021533
41	0.04248302455
42	0.04191986378
43	0.04154071747
44	0.04124672614
45	0.03998089386
46	0.03897531635
47	0.03848674457
48	0.03822291565
49	0.03791114896
50	0.03774542492
51	0.03755770779
52	0.03734133936
53	0.03667414671
54	0.03607608725
55	0.03580068089
56	0.03555075043
57	0.03540442263
58	0.03527902352
59	0.03503582842
60	0.03488044515
61	0.03456440352
62	0.0342896781
63	0.03411661493
64	0.03395492201
65	0.03372208386
66	0.03352123223
67	0.0334657308
68	0.03313267725
69	0.03293146135
70	0.03274875737
71	0.03271569102
72	0.03232754182
73	0.03190344703
74	0.03176906403
75	0.03157873868
76	0.03123772548
77	0.0311966066
78	0.03098498892
79	0.03087935907
80	0.03065562702
81	0.03033157405
82	0.03010424364
83	0.02960778986
84	0.0294929133
85	0.0293854548
86	0.02903481998
87	0.0289740297
88	0.02877580012
89	0.02877579898
90	0.02871081153
91	0.02866446096
92	0.02852323266
93	0.02841098768
94	0.02838298636
95	0.02833496691
96	0.02827674108
97	0.02823765696
98	0.02805262198
99	0.02799569745
100	0.02793556576
101	0.02774269405
102	0.02760583373
103	0.02744919891
104	0.02739461222
105	0.02734999909
106	0.02731681226
107	0.02723500892
108	0.02691894996
109	0.02673738608
110	0.02670302713
111	0.02664651181
112	0.02659332479
113	0.02644257298
114	0.02622841335
115	0.02615878937
116	0.02590057617
117	0.0257117805
118	0.02546975255
119	0.02541063248
120	0.02537463654
121	0.02527098765
122	0.02521398779
123	0.02497346168
124	0.0247965884
125	0.02465226051
126	0.02452780699
127	0.02450226667
128	0.02438962555
129	0.02428768606
130	0.02408423513
131	0.02392660211
132	0.0235478966
133	0.02329788237
134	0.02301531483
135	0.02285971266
136	0.02279052934
137	0.02269942579
138	0.02266890722
139	0.02242772586
140	0.02237048685
141	0.02218037633
142	0.02203839555
143	0.02196043911
144	0.02187385862
145	0.02175641834
146	0.02159436632
147	0.02134822368
148	0.02108706109
149	0.02097888768
150	0.02088911313
151	0.02081628375
152	0.02076083968
153	0.02071728596
154	0.0206233522
155	0.02056719526
156	0.02047073953
157	0.02021220186
158	0.01999087092
159	0.0198535066
160	0.01964473188
161	0.01960774928
162	0.01954579371
163	0.01937193156
164	0.0193194194
165	0.01921719786
166	0.01917505226
167	0.0191313749
168	0.01897560602
169	0.01894392993
170	0.01882196515
171	0.01877810958
172	0.01862289013
173	0.01856437888
174	0.01852728289
175	0.01843019021
176	0.01840944086
177	0.01831950365
178	0.0182337084
179	0.01820289956
180	0.01808571421
181	0.01802804731
182	0.01797413942
183	0.01794360386
184	0.01780598375
185	0.01772942911
186	0.01770421932
187	0.01757074161
188	0.0175488819
189	0.01738098597
190	0.01728590927
191	0.017250295
192	0.01721902855
193	0.01713091457
194	0.01710422129
195	0.01705089665
196	0.01700787252
197	0.01690378188
198	0.01679125212
199	0.01677273825
200	0.01665702721
201	0.01659967179
202	0.01652413995
203	0.01648945429
204	0.01636482078
205	0.01628166157
206	0.01613607644
207	0.01604363328
208	0.01595336481
209	0.01584397072
210	0.01579319273
211	0.01569737789
212	0.01566954933
213	0.01564161977
214	0.01557780007
215	0.01547358982
216	0.01544744917
217	0.01538037291
218	0.01531278605
219	0.01526961495
220	0.01522205204
221	0.01516735937
222	0.01508817047
223	0.01505381956
224	0.01497551751
225	0.0149321006
226	0.01490708717
227	0.01487028739
228	0.01485796868
229	0.01482281766
230	0.01471863079
231	0.01464502045
232	0.01461236213
233	0.01452263351
234	0.01449558898
235	0.01445588963
236	0.01435995412
237	0.01431759322
238	0.01427193914
239	0.01422800525
240	0.01420513143
241	0.01416934897
242	0.01411452276
243	0.0140753446
244	0.013955486
245	0.01392676002
246	0.01387555395
247	0.01384809022
248	0.01380998267
249	0.01374794089
250	0.01370700628
251	0.01367513769
